,Artist Name,Song Name,education,knowledge,school,science,teach,teacher
1448,CunninLynguists,Old School,0,0,9,0,0,0
1913,Dead Prez,They Schools,2,0,8,0,3,0
1914,Dead Prez,They Schools,2,0,8,0,3,0
6853,Run D.M.C.,Walk This Way,0,0,7,0,0,0
8229,Tupac,Old School,0,0,7,0,0,0
2035,DMX,School Street,0,0,7,0,0,0
6854,Run D.M.C.,Walk This Way,0,0,7,0,0,0
6846,Run D.M.C.,The School of Old,0,0,5,0,0,0
2674,Ghostface Killah,Child's Play,1,1,5,0,0,0
4693,Lil B,The Old Days,0,0,5,0,0,0
2675,Ghostface Killah,Child's Play,1,1,5,0,0,0
2901,Gucci Mane,Neva Had Sh*t,0,0,4,0,0,1
3138,Ice Cube,A Bird in the Hand,0,0,4,0,0,0
3181,Ice Cube,Hood Mentality,0,0,4,0,1,0
38,2 Chainz,Stop Me Now,0,0,4,0,0,0
5810,Mobb Deep,Peer Pressure,0,0,3,0,0,0
5209,Mac Dre,Chevs and Fords,0,0,3,0,0,0
8397,Twista,Out Here,0,0,3,0,0,0
5811,Mobb Deep,Peer Pressure,0,0,3,0,0,0
6004,Nas,One Love,0,0,3,0,0,0
6078,Nelly,Batter Up,0,0,3,0,0,0
954,Brand Nubian,Drop the Bomb,0,3,3,0,1,0
7296,T.I.,Still Ain't Forgave Myself,0,0,3,0,0,0
3341,J. Cole,Trouble,0,0,3,0,0,0
694,Biz Markie,What Comes Around Goes Around,0,0,3,0,0,0
2777,Ghostface Killah,The Forest,0,0,3,0,0,0
7349,Talib Kweli,Eat to Live,0,0,3,0,0,0
651,Biz Markie,Check It Out,1,0,3,0,0,1
4784,Lil Wayne,Hoes,0,0,3,0,0,0
4499,KRS-One,Uh Oh,0,0,3,0,0,0
7068,Snoop Dogg,Doggz Gonna Get Ya,0,0,3,0,0,0
7423,Talib Kweli,The Perfect Beat,0,1,3,0,0,0
7424,Talib Kweli,The Perfect Beat,0,1,3,0,0,0
895,Boogie Down Productions,Love's Gonna Get'cha,0,0,3,0,0,0
665,Biz Markie,Just a Friend,0,0,3,0,0,0
1684,Das EFX,Can't Have Nuttin',0,0,3,0,0,0
1785,De La Soul,Millie Pulled a Pistol on Santa,0,0,3,0,0,0
3855,Kanye West,Champion,0,0,2,0,0,0
8601,Wale,No Days Off,0,0,2,0,0,0
2391,Fat Joe,Life Goes On,0,0,2,0,0,0
1220,Cam'ron,Daydreaming,0,0,2,0,0,0
7281,T.I.,On Top of the World,0,0,2,0,0,0
1895,Dead Prez,Look Around,0,0,2,0,0,0
88,50 Cent,Hustler,0,0,2,0,0,0
6013,Nas,Reason,0,0,2,0,0,1
5680,Missy Elliott,Is This Our Last Time,0,0,2,0,0,0
3956,Kendrick Lamar,m.A.A.d city,0,0,2,0,1,0
7298,T.I.,Swagga Like Us,0,0,2,0,1,0
560,Beastie Boys,Unite,0,0,2,0,0,0
5162,Lupe Fiasco,Hood Now (Outro),0,0,2,0,0,0
